distinct_bib,subject
3004805,"Gay men Fiction"
3007061,"Lesbians California San Francisco Fiction"
3007645,"Transgender children Juvenile literature"
3007646,"Transgender children Juvenile fiction"
3008471,"Gay men Drama"
3008479,"Lesbians Drama"
3008484,"Lesbian teenagers Drama"
3008600,"Lesbians Fiction"
3008607,"Gay actors Fiction"
3008726,"Gay Roxane Anecdotes"
3008770,"Homosexuality Biblical teaching"
3008852,"Lesbians Fiction"
3009022,"Homosexuality Juvenile fiction"
3009377,"Gay men Sexual behavior Fiction"
3009377,"Gay military personnel Fiction"
3009392,"Older lesbians Fiction"
3009419,"Gay men Sexual behavior Fiction"
3009419,"Gay police officers Fiction"
3009485,"Lesbians Fiction"
3009485,"Lesbians Juvenile fiction"
3009507,"Transgender people Biography"
3009507,"Transgender people Biography Juvenile literature"
3009507,"Transgender people Identity"
3009507,"Transgender people Identity Juvenile literature"
3009507,Transgenderism
3009507,"Transgenderism Juvenile literature"
3009527,"Lesbians Fiction"
3009527,"Lesbians Juvenile fiction"
3009587,"Gay pride parades Fiction"
3009587,"Gay pride parades Juvenile fiction"
3010037,"Transgender people Medical care California San Francisco"
3010501,"Gay executives Great Britain Biography"
3010602,"Gay men Drama"
3010606,"Lesbian couples Drama"
3010727,"Gay couples"
3010727,"Gay parents"
3010727,"Gays Family relationships"
3010748,"Gay couples"
3010824,"Lesbians Comic books strips etc"
3010873,"Gays Crimes against California Oxnard"
3011027,"Homosexuality Juvenile fiction"
3011027,"Lesbians Juvenile fiction"
3011197,"Christian gays Religious life"
3011197,"Homosexuality in the Bible"
3011197,"Homosexuality Religious aspects Christianity"
3011237,"Gay men Comic books strips etc"
3011381,"Lesbians California Los Angeles Fiction"
3011382,"Gays Fiction"
3011383,"Lesbians Fiction"
3011384,"Gays Africa Fiction"
3011384,"Gays South Africa Fiction"
3011384,"Homosexuality Africa Fiction"
3011384,"Homosexuality South Africa Fiction"
3011440,"Transgender people"
3011440,"Transgender people United States"
3011466,"Lesbians California San Francisco Fiction"
3013413,"Transgender people Identity"
3013413,"Transgender people Identity Juvenile literature"
3013413,"Transgender people Juvenile literature"
3013413,"Transgender youth Juvenile literature"
3013464,"Gay mens writings American"
3013834,"Gays Fiction"
3014885,"Gay men Comic books strips etc"
3015065,"Gay and lesbian studies"
3015065,"Gay youth"
3017906,"Lesbian police officers Fiction"
3017906,"Lesbians Fiction"
3018361,"Lesbians writings"
3018398,"Gays Sexual behavior"
3018398,"Homosexuality and education"
3018398,"Homosexuality Law and legislation United States"
3018398,"Homosexuality Philosophy"
3018460,"Gay couples Legal status laws etc United States Cases"
3019494,"Gay couples Drama"
3019494,"Gay men Drama"
3019503,"Gay men Drama"
3019529,"Gay activists Drama"
3019529,"Gay men Drama"
3019529,"Homosexuality Drama"
3019721,"Gay liberation movement United States Songs and music"
3019755,"Gay men Drama"
3019874,"Gay journalists United States Biography"
3019874,"Gay politicians United States Biography"
3019874,"Homosexuality Political aspects United States"
3019874,"Lesbians United States Biography"
3019874,"SOCIAL SCIENCE Gay Studies"
3019874,"SOCIAL SCIENCE Lesbian Studies"
3020798,"Gay high school students Comic books strips etc"
3020800,"Gay men"
3020800,"Gay men Comic books strips etc"
3021673,"Gay men Fiction"
3021764,"Bisexual women United States Biography"
3021820,"Gays Fiction"
3021957,"Gay men Drama"
3022815,"Transgender fiction"
3022815,"Transgender people Fiction"
3023700,"Gay men in motion pictures"
3023700,"Gay men New York State New York Social life and customs"
3023700,"Queer theory United States"
3023810,Homosexuality
3023810,"Homosexuality Fiction"
3023885,"Gay activists United States Biography"
3023885,"Gay men United States Biography"
3023885,"Gay military personnel United States"
3023909,"Gay men Drama"
3024020,"Gay teenagers Fiction"
3024038,"Transgender people Identity"
3024038,"Transgender people Identity Juvenile literature"
3024038,"Transgender youth"
3024038,"Transgender youth United States Biography Juvenile literature"
3024039,"Transgender youth United States Biography"
3024039,"Transgenderism United States"
3024895,"Transgender people Psychology"
3024899,"Transgender people"
3024899,Transgenderism
3024901,"Transgender people United States Biography"
3024901,"Transgender people United States Pictorial works"
3024903,"Transgender people"
3024903,"Transgender peoples writings"
3025026,"Transgender people"
3025027,"Gay fathers Drama"
3025158,Bisexuality
3025158,Homosexuality
3025507,"Gay erotic stories American"
3027270,"Gay men Drama"
3027367,"Jewish lesbians Biography"
3027485,"Gay men Fiction"
3027554,"Gay men Fiction"
3027594,"African American gay men New York State New York"
3027594,"Gay culture New York State New York"
3027594,"Gay men New York State New York Social life and customs"
3027768,"Gay men Fiction"
3027770,"Lesbians Fiction"
3027782,"Lesbians Fiction"
3027903,"Gay men Fiction"
3027914,"Lesbian couples Tennessee Memphis History 19th century"
3027964,"Gay liberation movement United States History"
3027964,"Gay rights United States History"
3027964,"Homosexuality Law and legislation United States History"
3028015,"Gay men Japan Tokyo Comic books strips etc"
3028178,"Lesbians Fiction"
3028723,"Gay men Drama"
3028752,"Gay men Comic books strips etc"
3028821,"Gay community California History Sources Exhibitions"
3028828,"Lesbians United States Biography"
3028888,"Lesbians Fiction"
3029043,"Gays Fiction"
3029043,"Gays Juvenile fiction"
3029260,"Gay men Fiction"
3030082,"Gay men Crimes against Fiction"
3030286,"Bisexual men Fiction"
3030297,"Transgender fiction"
3030297,"Transgender people Fiction"
3030300,"Lesbians Fiction"
3030601,"Lesbians Juvenile fiction"
3030980,"Gay rights"
3030980,Gays
3031044,"Gay couples Comic books strips etc"
3034136,"Gay men Drama"
3034321,"Gay teenagers"
3034321,"Gay teenagers Fiction"
3034321,"Gay teenagers Juvenile fiction"
3034321,"Gays Identity"
3034321,"Gays Identity Fiction"
3034321,"Gays Identity Juvenile fiction"
3034324,"Homosexuality Fiction"
3034325,"Gay teenagers Fiction"
3035214,"Gay men Fiction"
3035708,"Lesbians writings American"
3035713,"Transgender people United States Biography"
3035776,"Homosexuality Religious aspects Christianity"
3035777,"Church work with gays"
3035777,"Homosexuality Religious aspects Christianity"
3036182,"Gay athletes United States Biography"
3036724,"Homosexuality Juvenile fiction"
3036725,"Gay teenagers Fiction"
3036726,"Gay high school students Texas Fiction"
3036729,"Homosexuality Fiction"
3036734,"Gay teenagers Fiction"
3036735,"Gay teenagers Fiction"
3036935,"Lesbians Fiction"
3036935,"Lesbians Juvenile fiction"
3037129,"Gay parents Drama"
3037191,"Transgender people Fiction"
3037191,"Transgender people Juvenile fiction"
3037290,"Gays Fiction"
3037382,"Gay men Comic books strips etc"
3038167,"Gay men United States Biography"
3038222,"Gay couples Drama"
3039110,"Lesbians Fiction"
3041995,"Gay couples Legal status laws etc United States Popular works"
3041995,"Lesbian couples Legal status laws etc United States Popular works"
3042006,"Gay couples Legal status laws etc United States"
3042006,"Gay rights United States"
3043048,"Gay men Japan Tokyo Comic books strips etc"
3043049,"Gay men Comic books strips etc"
3043049,"Gay men Japan Tokyo Comic books strips etc"
3043050,"Gay men Japan Tokyo Comic books strips etc"
3043051,"Gay men Japan Tokyo Comic books strips etc"
3043075,"Gay artists Interviews"
3043075,"Transgender artists Interviews"
3043086,"Gays Travel"
3043086,"Gays Travel Guidebooks"
3043107,"Gay spies History"
3043305,"Gay culture Germany Berlin"
3043305,"Gay men Germany Berlin Identity"
3043305,"Homosexuality Germany Berlin"
3043731,"Gay musicians"
3043731,"Gay musicians Fiction"
3043752,"Gay men Fiction"
3044322,"Christian gays"
3044322,"Ex gay movement"
3044322,"Ex gay movement United States History"
3044322,"Gays Mental health"
3044322,"Homosexuality Psychological aspects"
3044322,"Homosexuality Religious aspects Christianity"
3044322,"Lesbians Mental health"
3044322,"Parents of gays"
3044441,"Gay men Fiction"
3044470,"Bisexuals Fiction"
3044497,"Gay men Fiction"
3044585,"Gay heroes Fiction"
3044586,"Gay heroes Fiction"
3044587,"Gay heroes Fiction"
3045690,"Gay men Comic books strips etc"
3045690,"Lesbians Comic books strips etc"
3046082,"Homosexuality Religious aspects United Methodist Church U S"
3046087,"Gay teenagers Comic books strips etc"
3046132,"Gay men Drama"
3047270,"Gay legislators"
3047270,"Gay legislators United States Biography"
3047291,"Gay men United States Biography"
3047489,"Lesbians Fiction"
3047940,"Bisexuals Fiction"
3049913,"African American gays United States Interviews"
3051163,"Gay men Comic books strips etc"
3051316,"Gay men Fiction"
3051461,"Gay activists Drama"
3052217,"Catholic gays Religious life"
3052217,"Homosexuality Religious aspects Catholic Church"
3052217,"Lesbians Religious life"
3054265,"Gay men Fiction"
3054313,"Lesbian couples Drama"
3054313,"Lesbians Drama"
3054341,"Gay men Drama"
3054342,"Older gay men Drama"
3054411,"Gay men United States Correspondence"
3054411,"Gay rights United States"
3054411,"Gays United States"
3054472,"Gay men Japan Tokyo Comic books strips etc"
3056102,"Lesbians Fiction"
3056103,"Gay rights Fiction"
3056103,"Lesbians Fiction"
3056120,"Gays Fiction"
3056120,"Gays Juvenile fiction"
3056147,"Gay bars Fiction"
3056147,"Gay private investigators Fiction"
3056147,"Gays History 20th century"
3056147,"Gays Violence against Fiction"
3057009,"Gay rights United States"
3057009,"Gays United States Social conditions"
3057010,"Gay authors United States Biography"
3057010,"Gay men United States Biography"
3057055,"Gays Drama"
3057072,"Gay men Drama"
3057079,"Gay couples Drama"
3057079,"Gay men Sexual behavior Drama"
3057079,"Gay online chat groups Drama"
3057180,"Bisexuals Fiction"
3057345,"Gay couples Legal status laws etc United States Cases"
3057495,"Gay teenagers"
3057495,"Gay teenagers Portraits"
3057495,"Gay youth"
3057495,"Gay youth Portraits"
3057495,"Gays in popular culture"
3057507,"Gay teenagers Comic books strips etc"
3060448,"Lesbians Drama"
3061930,"Gay culture Fiction"
3061930,"Homosexuality Fiction"
3061948,"Lesbian couples Fiction"
3062002,"Gay men Drama"
3062188,"Gay men New York State New York Biography"
3063202,"Gay journalists United States Biography"
3063712,"Jewish lesbians Biography"
3063712,"Lesbians Conduct of life"
3064971,"Gay men Comic books strips etc"
3064977,"Homosexuality Religious aspects Christianity"
3065030,"Lesbian couples Fiction"
3065030,"Lesbian mothers Fiction"
3065030,"Lesbians Family relationships Fiction"
3066867,"Bisexual teenagers Juvenile fiction"
3066867,"Bisexuality Fiction"
3066906,"Gay teenagers Fiction"
3067609,"Gay men Legal status laws etc Great Britain"
3067731,"Lesbians Fiction"
3068364,"Gay men Drama"
3068371,"Lesbians Relations with heterosexuals Drama"
3068613,"Gay men Family relationships United States"
3068827,"Gay men Fiction"
3068951,"Gay fathers Fiction"
3068951,"Gay fathers Juvenile fiction"
3068953,Gays
3068953,"Gays Fiction"
3068953,"Gays Russia Federation Juvenile fiction"
3068959,"Gays Fiction"
3068959,"Gays Juvenile fiction"
3069299,"Gay men 20th century Portraits"
3069299,"Gay men Portraits 20th century"
3069299,"Gay pride celebrations 20th century Portraits"
3069299,"Lesbians 20th century Portraits"
3069299,"Lesbians Portraits 20th century"
3069315,"Gay men Great Britain Drama"
3070275,"Lesbian couples Fiction"
3077180,"Gay men Fiction"
3077232,"Children of gay parents"
3077232,"Children of gay parents Fiction"
3077232,"Children of gay parents Juvenile fiction"
3077232,"Gay parents"
3077232,"Gay parents Fiction"
3077232,"Gay parents Juvenile fiction"
3077232,"Lesbian couples as parents"
3077232,"Lesbian couples as parents Fiction"
3077232,"Lesbian couples as parents Juvenile fiction"
3077232,"Lesbian mothers"
3077232,"Lesbian mothers Fiction"
3077232,"Lesbian mothers Juvenile fiction"
3077307,"Gay men Drama"
3077421,"Stella Fictitious character Gay Juvenile drama"
3077435,"Gay men Fiction"
3077435,"Gay mens writings American"
3077435,"Gay mens writings American History and criticism"
3077455,"Gay men Fiction"
3077481,"Homosexuality Fiction"
3077757,"Gay men Great Britain Biography"
3077890,"African American gays Fiction"
3077924,"Gays Fiction"
3077924,"Gays Juvenile fiction"
3078132,"Gay men Drama"
3078201,"Gay teenagers Juvenile fiction"
3078391,"Gay activists Religious life"
3078391,"Homosexuality Religious aspects Evangelical Church"
3078391,"Homosexuality Religious aspects Fundamentalist churches"
3078503,"Gay men Comic books strips etc"
3078725,"Gay authors United States Biography"
3078725,"Gays Crimes against United States"
3078725,"Gays in literature"
3078737,"Lesbians Fiction"
3078740,"Lesbians Fiction"
3078959,"Gay men Japan Tokyo Comic books strips etc"
3078997,"Gay erotic comic books strips etc Japan"
3078997,"Gay men Japan Comic books strips etc"
3079722,"Gay men Fiction"
3079739,"Lesbian teenagers Fiction"
3079784,"Gay fathers Fiction"
3079784,"Gay fathers Juvenile fiction"
3079886,"Gay men Fiction"
3080960,"Lesbians Biography"
3081389,"Lesbians Fiction"
3081389,"Transgender fiction"
3081389,"Transgender people Fiction"
3081498,"Gay men United States Anecdotes"
3082408,"Transgender people Mexico Pictorial works"
3082408,"Transgender people Mexico Portraits"
3082408,"Transgender people Mexico Social conditions"
3082714,"African American lesbians Fiction"
3082724,"Lesbians Fiction"
3083238,"Lesbians Fiction"
3083239,"Male homosexuality Germany Fiction"
3084429,"African American gay men Drama"
3084431,"Gay men"
3084431,"Gay men United States Biography"
3084431,"Gay military personnel United States Biography"
3084431,"United States Armed Forces Gays Biography"
3084431,"United States Armed Services Gays Biography"
3084438,"Homosexuality Poetry"
3084439,Lesbianism
3084439,"Lesbians Biography"
3084447,"Gay and lesbian studies Study and teaching United States"
3084449,"Gays United States"
3084449,"Lesbians United States"
3084452,"Gay bars"
3084452,"Gay bars Louisiana New Orleans Case studies"
3084452,"Gays Louisiana New Orleans Social conditions 20th century"
3084452,"Gays Social conditions"
3084453,"Gays Cuba"
3084453,"Homosexuality Cuba History 20th century"
3084454,"Male homosexuality Social aspects Southern States History"
3084456,"Gays writings American History and criticism"
3084456,"Homosexuality in literature"
3084456,"Lesbianism in literature"
3084457,"Hispanic American lesbians"
3084457,"Queer theory United States"
3084457,"SOCIAL SCIENCE Gay Studies"
3084458,"Lesbian feminism Europe History"
3084458,"Lesbianism Europe History"
3084458,"Lesbians in literature"
3084458,"Lesbians writings History and criticism"
3084459,"Gay business enterprises Philippines Manila"
3084459,"Gay community Philippines Manila"
3084459,"Gay men Philippines Manila"
3084459,"Male homosexuality Philippines Manila"
3084508,"Gay legislators United States Biography"
3084651,"Lesbians Fiction"
3085723,"Gay men England London Fiction"
3085723,"Gay men France Paris Fiction"
3085725,"Gay men Fiction"
3085726,"Gay men Fiction"
3085727,"Lesbians Fiction"
3085729,"Lesbians Fiction"
3085730,"Lesbians Fiction"
3085731,"Lesbians Fiction"
3085732,"Lesbian police officers Fiction"
3085732,"Lesbians Fiction"
3085733,"Children of gay parents Fiction"
3085733,"Lesbians Fiction"
3085734,"Lesbians Fiction"
3085735,"Lesbians United States Fiction"
3085736,"Lesbians Fiction"
3085738,"Gay men Fiction"
3085739,"Lesbians Fiction"
3085741,"Bisexuality Fiction"
3085741,"Homosexuality Fiction"
3085742,"Gay men Fiction"
3085743,"Gay men Fiction"
3085744,"Gay men United States Fiction"
3085746,"Gay men Pennsylvania Philadelphia Fiction"
3085747,"Gays Fiction"
3085749,"Older gay men Fiction"
3085749,"Older lesbians Fiction"
3085751,"Gay men Fiction"
3085752,"Gay military personnel Fiction"
3085753,"Gay men Fiction"
3085755,"Closeted gays California Los Angeles Fiction"
3085756,"Lesbians Sexual behavior Fiction"
3085757,"Bears Gay culture Fiction"
3085757,"Gay erotic fiction"
3085757,"Gay erotic stories"
3085757,"Gay men Sexual behavior Fiction"
3085759,"Lesbians Sexual behavior Fiction"
3085760,"Gay men Fiction"
3085761,"Gay men Fiction"
3085761,"Gay men Sexual behavior Fiction"
3085763,"Gay men Italy Rome Fiction"
3085764,"Gay men England London Fiction"
3085877,"Gay accomodations Guidebooks"
3085877,"Gay men Travel Guidebooks"
3085943,"Gay men Japan Tokyo Comic books strips etc"
3085974,"Gay men Japan Fiction"
3086113,"Bisexual women Drama"
3086178,"Lesbians Fiction"
3086261,"Transgender fiction"
3086261,"Transgender people Fiction"
3086277,"Gays Mental health services Evaluation"
3086277,"Homosexuality Treatment Evaluation"
3086304,"Church work with gays"
3086304,"Gays Identity"
3086304,"Gays United States Identity"
3086304,"Homosexuality Religious aspects Christianity"
3086941,"Queer theory"
3086985,"Gay men Comic books strips etc"
3087064,"Gay teenagers Fiction"
3089691,"Gay fathers Fiction"
3089691,"Gay fathers Juvenile fiction"
3090533,"Lesbians Fiction"
3090534,"Gay men Fiction"
3090698,"Gay teenagers Drama"
3090988,"African American gay men"
3090988,"Closeted gays"
3090988,"Gay men Relations with heterosexual women"
3091002,"Lesbians Texas Fiction"
3091128,"Lesbians Fiction"
3091253,"Bisexual women United States Biography"
3091253,"Lesbians United States Biography"
3091381,"Homosexuality in motion pictures"
3091489,"Gay men Comic books strips etc"
3091514,"Gay teenagers Comic books strips etc"
3091632,"Transgender people Drama"
3091758,"Gay fathers Fiction"
3091758,"Gay fathers Juvenile fiction"
3091758,"Gay parents Fiction"
3091758,"Gay parents Juvenile fiction"
3091861,"Gay men Comic books strips etc"
3091872,"Lesbians Great Britain Biography"
3092960,"Lesbians Fiction"
3093008,"Gay liberation movement"
3093008,"Gay liberation movement United States History 20th century Juvenile literature"
3093008,"Gay men United States History"
3093008,"Gay men United States History 20th century Juvenile literature"
3093008,"Lesbians United States History"
3093008,"Lesbians United States History 20th century Juvenile literature"
3093009,"Homosexuality Bibliography"
3093009,"Homosexuality Fiction Bibliography"
3093009,"Homosexuality Juvenile fiction Bibliography"
3093009,"Homosexuality Juvenile literature Bibliography"
3093359,"Gaye Jan"
3093359,"Gaye Jan 1956"
3093359,"Gaye Marvin"
3093359,"Gaye Marvin Family"
3093363,"Gay high school students Biography"
3093363,"Gay youth Biography"
3093443,"Gay community Switzerland Zurich Drama"
3093443,"Gay men Switzerland Drama"
3093443,"Gay rights Drama"
3093938,"Gay men Washington State Seattle Literary collections"
3093938,"Gay mens writings American Washington State Seattle"
3093938,"Gays Washington State Seattle Literary collections"
3093939,"Gay men Washington State Seattle Literary collections"
3093939,"Gay mens writings American Washington State Seattle"
3093939,"Gays Washington State Seattle Literary collections"
3093940,"Bisexuals Washington State Seattle"
3093940,"Gay men Washington State Seattle Literary collections"
3093940,"Gay mens writings American Washington State Seattle"
3093940,"Gays Literature"
3093940,"Gays Literatures"
3093940,"Gays Washington State Seattle"
3093940,"Gays Washington State Seattle Literary collections"
3093940,"Lesbian community Washington State Seattle"
3093941,"Gay artists Washington State Seattle"
3093941,"Gay mens writings American"
3093941,"Homosexuality and art"
3093941,"Homosexuality and the arts"
3093941,"Lesbian artists Washington State Seattle"
3093941,"Lesbians writings American"
3096961,"Gay liberation movement United States History"
3096961,"Gay rights United States History"
3096961,"Gays United States History"
3097139,"Homosexuality Europe History"
3097139,"Lesbianism Europe History"
3097204,"Homosexuality Europe History"
3097204,"Homosexuality Religious aspects Christianity History"
3097208,"Lesbians Fiction"
3097562,"Gay men Comic books strips etc Fiction"
3097653,"Bisexuality Juvenile literature"
3097653,"Gays Juvenile literature"
3097653,"Homosexuality Juvenile literature"
3097653,"Transgender people Juvenile literature"
3098759,"Lesbians United States History 19th century Fiction"
3098795,"Gay teenagers Juvenile fiction"
3098795,"Gays Fiction"
3098819,"Gay teenagers Juvenile fiction"
3098819,"Gays Fiction"
3098827,"Gay men California San Francisco Fiction"
3098831,"Gay men Sexual behavior Fiction"
3098837,"Lesbians Fiction"
3098852,"Gay men Fiction"
3098872,"Lesbians Fiction"
3098894,"Lesbians Fiction"
3098900,"Lesbians Fiction"
3098901,"Gay men Fiction"
3098901,"Homosexuality Fiction"
3098902,"Lesbians Fiction"
3098953,"Gay men Comic books strips etc"
3098953,"Gay youth Comic books strips etc"
3099297,"Gays Fiction"
3099306,"Lesbians Fiction"
3099442,"Gay men Sexual behavior Fiction"
3099511,"Lesbians United States"
3099745,"Lesbian mothers Fiction"
3099745,"Lesbians Fiction"
3099745,"Lesbians Juvenile fiction"
3099789,"South Asian American gays"
3099789,"Transgender peoples writings American"
3099816,"Gay men Encyclopedias"
3099816,"Male homosexuality Encyclopedias"
3100026,"Gay men Drama"
3100542,"Gay youth United States Biography"
3100778,"Gay men Comic books strips etc"
3100796,"Gay men United States Biography"
3101331,"Bears Gay culture United States"
3101331,"Gay men United States"
3102388,"Gay men Comic books strips etc"
3102895,"Homosexuality Fiction"
3103010,"Gay men Drama"
3103019,"Gay couples Drama"
3103019,"Gay men Drama"
3103019,"Thailand Kongthap Bok Gays Drama"
3103024,"Gay men Portugal Biography"
3103727,"Gay teenagers Mexico Drama"
3103729,"Gay couples Mexico Drama"
3103729,"Gay men Drama"
3103768,"Gay youth Family relationships New York State Long Island"
3104544,"Gay motion picture producers and directors Europe"
3104544,"Gay motion picture producers and directors United States"
3104544,"Homosexuality in motion pictures"
3104702,"Gay men Japan Tokyo Comic books strips etc"
3104806,"Gay teenagers Juvenile fiction"
3104816,"Gays Fiction"
3105229,"Gay men France Drama"
3105239,"Lesbians Drama"
3105243,"Lesbians Drama"
3105248,"Gay men Drama"
3106135,"Lesbians Fiction"
3106148,"Homosexuality Juvenile fiction"
3106771,"Gay activists United States"
3106771,"Gay liberation movement United States History 20th century"
3106771,"Gay rights United States"
3106771,"Gays United States History 20th century"
3106816,"Homosexuality Religious aspects Islam"
3106854,"Gay men Family relationships United States"
3106854,"Gay men United States Biography"
3106854,"Gay military personnel United States Biography"
3106859,"African American gays Michigan Detroit"
3106859,"Gay and lesbian dance parties Michigan Detroit"
3106859,"Gay culture Michigan Detroit"
3107059,"Gay fathers Fiction"
3107059,"Gay fathers Juvenile fiction"
3107118,"Gay men Fiction"
3109534,"Gay men United States Biography"
3109657,"Transgender youth Oregon Portland Fiction"
3109707,"Lesbians Fiction"
3110675,"Gay men Comic books strips etc"
3110702,"Lesbianism Comic books strips etc"
3110725,"Lesbians Fiction"
3110768,"African American bisexual men Fiction"
3110922,"Davis Gayle Taylor"
3111205,"Homosexuality Juvenile fiction"
3111341,"Gay teenagers Counseling of New York State New York"
3111341,"Gay teenagers Services for New York State New York"
3111355,"Jewish lesbians"
3111522,"Bisexual high school students Fiction"
3111522,"Bisexual high school students Juvenile fiction"
3111763,"Gay men Family relationships United States"
3111987,"Gay couples Comic books strips etc"
3111987,"Gay motion picture actors and actresses Comic books strips etc"
3112306,"Lesbians India Social conditions Fiction"
3113960,"Homosexuality Fiction"
3113960,"Homosexuality Juvenile fiction"
3114391,"Lesbian police officers Fiction"
3114391,"Lesbians Fiction"
3114426,"Lesbians Fiction"
3114470,"Church work with gays"
3114470,"Homosexuality Religious aspects Christianity"
3114474,"Bisexual teachers United States Biography"
3114474,"Gay teachers United States Biography"
3114474,"Lesbian teachers United States Biography"
3114474,"Transgender teachers United States Biography"
3115369,"Gay men Identity"
3115369,"Gay men Psychology"
3115489,"Gays Fiction"
3115489,"Gays Juvenile fiction"
3115489,"Lesbians Fiction"
3115489,"Lesbians Juvenile fiction"
3115948,"Closeted gays Drama"
3115948,"Gays Drama"
3116015,"Gay men United States Biography"
3116027,"Gay parents"
3116149,"Bisexuality Fiction"
3116149,"Gays Fiction"
3116154,"Gays Juvenile fiction"
3116168,"Gays Fiction"
3116168,"Gays Juvenile fiction"
3116172,"Gays Fiction"
3116172,"Gays Juvenile fiction"
3117313,"Gay men Fiction"
3117476,"Transgender people Political activity"
3117476,Transgenderism
3117478,"Gay couples Family relationships"
3117633,"Gay men Comic books strips etc"
3117636,"Gay men Comic books strips etc"
3118252,"Closeted gays Fiction"
3118252,"Gay police officers Fiction"
3118399,"Lesbian youth Texas Mineral Wells"
3118476,"Lesbian teenagers Fiction"
3118476,"Lesbians Identity Fiction"
3118481,"Lesbians Fiction"
3118482,"Gay men Fiction"
3118482,"Lesbians Fiction"
3118483,"Lesbians Fiction"
3118489,"Gay teenagers Fiction"
3118489,"Gay teenagers Juvenile fiction"
3118498,"Gay men Fiction"
3118498,"Gay teenagers Fiction"
3118678,"Gay men Fiction"
3118979,"Transgender people Pictorial works"
3118979,Transgenderism
3119768,"Lesbians Juvenile fiction"
3119848,"Transgender people United States Biography"
3120401,"Gay athletes Fiction"
3120615,"Gay couples Legal status laws etc United States"
3122497,"Gay couples Drama"
3122497,"Gay men Drama"
3122549,"Gay fathers Drama"
3122581,"Gay men"
3122581,Homosexuality
3123571,"Transgender people Case studies"
3123571,Transgenderism
3123579,"Gay activists United States Biography"
3123579,"Gay men United States Biography"
3123579,"Gay rights"
3123713,"Lesbians Fiction"
3123908,"Gay men Fiction"
3125142,"Lesbians Drama"
3125437,"Transgender children"
3125437,"Transgender children United States Biography"
3125504,"Gays Fiction"
3125759,"Gay community New York State New York Drama"
3125821,"African American lesbians Fiction"
3125886,"Transgender fiction"
3125886,"Transgender people Fiction"
3126293,"Lesbians Germany Berlin History"
3126338,"African American gay men Biography"
3126929,"Gay rights United States"
3126929,"Gays Political activity United States History 21st century"
3126929,"Homosexuality Political aspects United States History 21st century"
3127100,"Transgender children Family relationships"
3127100,"Transgender children United States"
3127890,"Homosexuality Drama"
3128256,"Gay men Drama"
3128334,"Lesbians Drama"
3128336,"Gay men Drama"
3128337,"Gay men Drama"
3128338,"Gay artists Montana Drama"
3128338,"Gay men Drama"
3128338,"Gay men Family relationships Drama"
3128341,"Gay men New York State New York Drama"
3128341,"Homosexuality Drama"
3128341,"Male homosexuality Drama"
3128342,"Gay teenagers Drama"
3128444,"Gay men Comic books strips etc"
3128479,"Gay men Comic books strips etc"
3129958,"Bisexual women Comic books strips etc"
3129960,"Gay men Comic books strips etc"
3129960,"Gay police officers Comic books strips etc"
3129982,"Lesbians Hawaii Fiction"
3129982,"Transgender people Hawaii Fiction"
3130043,"Gay couples Drama"
3130043,"Older gay men Drama"
3130128,"Lesbians Fiction"
3131460,"Lesbians Identity Juvenile fiction"
3131818,"Lesbians United States Biography"
3131980,"Gay teenagers Drama"
3132072,"Lesbians Fiction"
3132149,"Gay men Fiction"
3132150,"Gay men Fiction"
3132465,"Lesbians Fiction"
3132466,"Lesbians Fiction"
3133123,"Transgender people Biography"
3133212,"Lesbians Fiction"
3133212,"Lesbians Juvenile fiction"
3133809,"Gay teenagers Fiction"
3133823,"Gays Fiction"
3133823,"Gays Juvenile fiction"
3134170,"Jewish transgender people Religious life"
3134170,"Transgenderism Religious aspects Judaism"
3134285,"Gay rights United States History Juvenile literature"
3134285,"Gays United States History Juvenile literature"
3134377,"Transgender people United States"
3134377,"Transgender youth United States"
3134377,"Transgenderism United States"
3134441,"Gay teenagers United States Biography"
3135830,"Lesbians Fiction"
3135830,"Lesbians Juvenile fiction"
3135957,"McCullough Amy Amy Gayle 1979 Travel Pacific Coast North America"
3136134,"Gays Identity"
3136167,"Gay teenagers Drama"
3136886,"Gay couples Fiction"
3136978,"Bisexual youth Canada Biography Comic books strips etc"
3137058,"Children of gay parents Comic books strips etc"
3137058,"Gay parents Comic books strips etc"
3137364,"Lesbians Washington State Seattle 20th century"
3137561,"Gay men Comic books strips etc"
3137814,"Gays Fiction"
3137814,"Gays Juvenile fiction"
3138420,"Gay culture New York State New York Pictorial works"
3138445,"Homosexuality Religious aspects Christianity"
3138548,"Lesbians Fiction"
3138699,"Gay men Sexual behavior Drama"
3138701,"Homosexuality Puerto Rico"
3138701,"Transgender people"
3138735,"Homosexuality Drama"
3139098,"Gays Drama"
3139206,"Gay men Fiction"
3139755,"Gay men Fiction"
3139927,"Lesbians Crimes against Washington State Seattle Case studies"
3139936,"Gay college students Comic books strips etc"
3139936,"Gay men Comic books strips etc"
3140534,"Lesbian couples Fiction"
3141270,"Gay men Drama"
3141420,"Lesbian theater New York State New York"
3141422,"Lesbians Biography Comic books strips etc"
3141424,"Gays Violence against United States"
3141425,"Gay rights Political aspects United States"
3141426,"Gay activists United States"
3141427,"Children of gay parents United States"
3141427,"Gay parents United States"
3141428,"Gay couples United States"
3141430,"Queer theory"
3141431,"Gays United States History 20th century"
3141431,"Homosexuality Government policy United States History 20th century"
